job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,job_title_standardized,job_category,skills_list,tools_list,num_skills_required,num_tools_preferred,salary_min,salary_max,salary_avg,salary_category,city,country_code,country,region,industry_standardized,industry_category,experience_level_standardized,employment_type_standardized,company_size_standardized,posted_date_parsed,posted_year,posted_month,posted_quarter,posted_month_name
14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,2024/11/20,Mid,"LangChain, TensorFlow, Scikit-learn",Quant Researcher,Quant Researcher,"['Excel', 'MLflow', 'NumPy', 'Hugging Face', 'LangChain', 'FastAPI']","['LangChain', 'TensorFlow', 'Scikit-learn']",6,3,137004,193975,165489.5,Very High (>150K),Christianberg,GQ,Equatorial Guinea,Africa,Retail,Retail & E-commerce,Senior,Full-Time,Mid,2024-11-20,2024,11,4,November
15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,2024/7/8,Large,FastAPI,Nlp Engineer,NLP Engineer,"['Pandas', 'CUDA', 'NumPy', 'FastAPI']",['FastAPI'],4,1,129842,216741,173291.5,Very High (>150K),New Katieborough,FJ,Fiji,Oceania,Education,Education,Mid,Remote,Large,2024-07-08,2024,7,3,July
16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,2024/4/6,Startup,TensorFlow,Nlp Engineer,NLP Engineer,"['Hugging Face', 'Scikit-learn', 'Reinforcement Learning']",['TensorFlow'],3,1,124669,217866,171267.5,Very High (>150K),Stephaniechester,LU,Luxembourg,Europe,Automotive,Automotive & Transportation,Senior,Remote,Startup,2024-04-06,2024,4,2,April
17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,2025/5/14,Mid,LangChain,Ml Engineer,ML Engineer,"['MLflow', 'R', 'C++']",['LangChain'],3,1,137523,180097,158810.0,Very High (>150K),South Tim,CZ,Czech Republic,Europe,E-Commerce,Retail & E-commerce,Entry,Full-Time,Mid,2025-05-14,2025,5,2,May
18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,2024/4/29,Startup,BigQuery,Ai Product Manager,AI Product Manager,"['Excel', 'MLflow', 'Hugging Face', 'Flask', 'Power BI']",['BigQuery'],5,1,138184,192857,165520.5,Very High (>150K),Blevinsburgh,VU,Vanuatu,Oceania,Automotive,Automotive & Transportation,Entry,Internship,Startup,2024-04-29,2024,4,2,April
19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,2024/10/19,Mid,"BigQuery, FastAPI, KDB+",Data Scientist,Data Scientist,"['AWS', 'Azure', 'Power BI', 'CUDA', 'Reinforcement Learning', 'Hugging Face']","['BigQuery', 'FastAPI', 'KDB+']",6,3,100845,159745,130295.0,High (100K-150K),Parkmouth,CA,Canada,North America,Healthcare,Healthcare,Senior,Remote,Mid,2024-10-19,2024,10,4,October
20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,2024/8/29,Large,MLflow,Ml Engineer,ML Engineer,"['R', 'CUDA', 'Power BI', 'AWS']",['MLflow'],4,1,115578,207180,161379.0,Very High (>150K),Stevenhaven,BW,Botswana,Africa,E-Commerce,Retail & E-commerce,Mid,Internship,Large,2024-08-29,2024,8,3,August
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,2024/1/19,Large,"Scikit-learn, BigQuery, PyTorch",Quant Researcher,Quant Researcher,"['C++', 'Power BI', 'R', 'SQL', 'Keras', 'Azure']","['Scikit-learn', 'BigQuery', 'PyTorch']",6,3,122521,175168,148844.5,High (100K-150K),Gregorymouth,LV,Latvia,Europe,Retail,Retail & E-commerce,Entry,Remote,Large,2024-01-19,2024,1,1,January
22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,2023/12/28,Large,"PyTorch, LangChain",Quant Researcher,Quant Researcher,"['LangChain', 'NumPy', 'CUDA', 'C++', 'MLflow', 'R']","['PyTorch', 'LangChain']",6,2,62483,105216,83849.5,Mid (70K-100K),Lake Alexander,RU,Russia,Europe,Retail,Retail & E-commerce,Entry,Full-Time,Large,2023-12-28,2023,12,4,December
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,2024/11/25,Startup,"PyTorch, Scikit-learn, KDB+",Nlp Engineer,NLP Engineer,"['CUDA', 'FastAPI', 'Scikit-learn', 'MLflow', 'Hugging Face']","['PyTorch', 'Scikit-learn', 'KDB+']",5,3,74317,148899,111608.0,High (100K-150K),North Nicholas,SN,Senegal,Africa,E-Commerce,Retail & E-commerce,Mid,Remote,Startup,2024-11-25,2024,11,4,November
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,2023/12/6,Mid,Scikit-learn,Nlp Engineer,NLP Engineer,"['PyTorch', 'CUDA', 'Hugging Face', 'Flask', 'C++']",['Scikit-learn'],5,1,68115,125323,96719.0,Mid (70K-100K),Leeton,MW,Malawi,Africa,Tech,Technology,Senior,Internship,Mid,2023-12-06,2023,12,4,December
25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,2025/6/13,Mid,FastAPI,Nlp Engineer,NLP Engineer,"['Python', 'Reinforcement Learning', 'MLflow']",['FastAPI'],3,1,89840,109693,99766.5,Mid (70K-100K),Suzanneview,TW,Taiwan,Asia,Healthcare,Healthcare,Mid,Internship,Mid,2025-06-13,2025,6,2,June
26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,2024/12/20,Mid,"FastAPI, PyTorch, KDB+",Nlp Engineer,NLP Engineer,"['PyTorch', 'Reinforcement Learning', 'FastAPI', 'Power BI', 'Python', 'R']","['FastAPI', 'PyTorch', 'KDB+']",6,3,107786,126713,117249.5,High (100K-150K),Whitestad,BB,Barbados,Caribbean,Finance,Finance & Banking,Mid,Remote,Mid,2024-12-20,2024,12,4,December
27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,2025/1/2,Large,"TensorFlow, Scikit-learn, FastAPI",Quant Researcher,Quant Researcher,"['Azure', 'Flask', 'FastAPI', 'Hugging Face', 'Power BI', 'Python']","['TensorFlow', 'Scikit-learn', 'FastAPI']",6,3,44309,77284,60796.5,Low (<70K),Taraburgh,DZ,Algeria,Africa,Education,Education,Senior,Internship,Large,2025-01-02,2025,1,1,January
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2025/2/28,Startup,"PyTorch, MLflow",Data Analyst,Data Analyst,"['R', 'Python', 'Pandas']","['PyTorch', 'MLflow']",3,2,124616,172767,148691.5,High (100K-150K),New Richard,TD,Chad,Africa,Healthcare,Healthcare,Entry,Contract,Startup,2025-02-28,2025,2,1,February
29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,2025/1/31,Startup,"Scikit-learn, FastAPI, LangChain",Data Analyst,Data Analyst,"['Flask', 'Hugging Face', 'Pandas', 'Python', 'Scikit-learn', 'Keras']","['Scikit-learn', 'FastAPI', 'LangChain']",6,3,142616,216391,179503.5,Very High (>150K),South Donaldton,GE,Georgia,Asia,Finance,Finance & Banking,Mid,Internship,Startup,2025-01-31,2025,1,1,January
30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,2024/6/7,Startup,TensorFlow,Data Analyst,Data Analyst,"['Scikit-learn', 'SQL', 'Azure']",['TensorFlow'],3,1,70932,161568,116250.0,High (100K-150K),North Michael,TT,Trinidad and Tobago,Caribbean,Finance,Finance & Banking,Entry,Contract,Startup,2024-06-07,2024,6,2,June
31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024/6/27,Startup,"KDB+, PyTorch",Quant Researcher,Quant Researcher,"['Keras', 'Excel', 'TensorFlow']","['KDB+', 'PyTorch']",3,2,54565,94461,74513.0,Mid (70K-100K),Port Patriciaport,TG,Togo,Africa,Tech,Technology,Senior,Full-Time,Startup,2024-06-27,2024,6,2,June
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023/9/22,Mid,"LangChain, KDB+",Data Scientist,Data Scientist,"['Hugging Face', 'Scikit-learn', 'C++', 'Excel', 'Azure']","['LangChain', 'KDB+']",5,2,112660,179478,146069.0,High (100K-150K),Danielchester,ID,Indonesia,Asia,Healthcare,Healthcare,Entry,Full-Time,Mid,2023-09-22,2023,9,3,September
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024/9/30,Startup,"TensorFlow, Scikit-learn",Ai Product Manager,AI Product Manager,"['Keras', 'PyTorch', 'AWS', 'FastAPI', 'CUDA']","['TensorFlow', 'Scikit-learn']",5,2,55330,104941,80135.5,Mid (70K-100K),Alexandriaburgh,KN,Saint Kitts and Nevis,Caribbean,Tech,Technology,Mid,Contract,Startup,2024-09-30,2024,9,3,September
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023/11/25,Startup,PyTorch,Nlp Engineer,NLP Engineer,"['MLflow', 'Keras', 'SQL', 'GCP', 'Power BI']",['PyTorch'],5,1,110439,183071,146755.0,High (100K-150K),West Charles,TT,Trinidad and Tobago,Caribbean,Finance,Finance & Banking,Senior,Internship,Startup,2023-11-25,2023,11,4,November
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024/4/1,Large,"TensorFlow, Scikit-learn",Computer Vision Engineer,Computer Vision Engineer,"['GCP', 'C++', 'Excel']","['TensorFlow', 'Scikit-learn']",3,2,97714,134140,115927.0,High (100K-150K),North Denise,MC,Monaco,Europe,Automotive,Automotive & Transportation,Entry,Contract,Large,2024-04-01,2024,4,2,April
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023/12/25,Startup,"Scikit-learn, FastAPI, MLflow",Computer Vision Engineer,Computer Vision Engineer,"['PyTorch', 'LangChain', 'R']","['Scikit-learn', 'FastAPI', 'MLflow']",3,3,87250,156869,122059.5,High (100K-150K),Kirbyside,LT,Lithuania,Europe,Finance,Finance & Banking,Mid,Remote,Startup,2023-12-25,2023,12,4,December
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024/11/16,Mid,"Scikit-learn, LangChain, KDB+",Ai Researcher,AI Researcher,"['Excel', 'SQL', 'Python']","['Scikit-learn', 'LangChain', 'KDB+']",3,3,77074,163272,120173.0,High (100K-150K),Lake John,AU,Australia,Oceania,Retail,Retail & E-commerce,Entry,Contract,Mid,2024-11-16,2024,11,4,November
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025/5/14,Startup,MLflow,Ml Engineer,ML Engineer,"['SQL', 'Hugging Face', 'TensorFlow']",['MLflow'],3,1,116061,159814,137937.5,High (100K-150K),East Ashleyland,PL,Poland,Europe,E-Commerce,Retail & E-commerce,Mid,Remote,Startup,2025-05-14,2025,5,2,May
39,Boyd PLC,Retail,Data Scientist,"PyTorch, Power BI, AWS, FastAPI",Senior,Internship,"Port Misty, NL",87411-136106,2024/6/10,Mid,LangChain,Data Scientist,Data Scientist,"['PyTorch', 'Power BI', 'AWS', 'FastAPI']",['LangChain'],4,1,87411,136106,111758.5,High (100K-150K),Port Misty,NL,Netherlands,Europe,Retail,Retail & E-commerce,Senior,Internship,Mid,2024-06-10,2024,6,2,June
40,"Sanders, Mejia and Townsend",Automotive,Data Analyst,"Power BI, PyTorch, GCP, CUDA, Keras, Scikit-learn",Entry,Internship,"Deleonchester, HN",88562-159008,2025/6/27,Mid,"FastAPI, Scikit-learn, LangChain",Data Analyst,Data Analyst,"['Power BI', 'PyTorch', 'GCP', 'CUDA', 'Keras', 'Scikit-learn']","['FastAPI', 'Scikit-learn', 'LangChain']",6,3,88562,159008,123785.0,High (100K-150K),Deleonchester,HN,Honduras,Central America,Automotive,Automotive & Transportation,Entry,Internship,Mid,2025-06-27,2025,6,2,June
41,Hernandez Inc,E-commerce,Quant Researcher,"NumPy, AWS, Excel, SQL, Keras",Senior,Remote,"Nicoleport, BF",41935-95608,2025/2/8,Mid,"Scikit-learn, TensorFlow, BigQuery",Quant Researcher,Quant Researcher,"['NumPy', 'AWS', 'Excel', 'SQL', 'Keras']","['Scikit-learn', 'TensorFlow', 'BigQuery']",5,3,41935,95608,68771.5,Low (<70K),Nicoleport,BF,Burkina Faso,Africa,E-Commerce,Retail & E-commerce,Senior,Remote,Mid,2025-02-08,2025,2,1,February
42,"Parrish, White and Grant",E-commerce,NLP Engineer,"R, Power BI, CUDA, MLflow",Mid,Full-time,"Kimside, BW",126443-145937,2023/11/10,Startup,TensorFlow,Nlp Engineer,NLP Engineer,"['R', 'Power BI', 'CUDA', 'MLflow']",['TensorFlow'],4,1,126443,145937,136190.0,High (100K-150K),Kimside,BW,Botswana,Africa,E-Commerce,Retail & E-commerce,Mid,Full-Time,Startup,2023-11-10,2023,11,4,November
43,"Carroll, Lucero and Lambert",Healthcare,AI Product Manager,"NumPy, SQL, Python, Reinforcement Learning, LangChain",Entry,Full-time,"Simsside, TD",99978-189975,2024/9/5,Large,"PyTorch, TensorFlow, FastAPI",Ai Product Manager,AI Product Manager,"['NumPy', 'SQL', 'Python', 'Reinforcement Learning', 'LangChain']","['PyTorch', 'TensorFlow', 'FastAPI']",5,3,99978,189975,144976.5,High (100K-150K),Simsside,TD,Chad,Africa,Healthcare,Healthcare,Entry,Full-Time,Large,2024-09-05,2024,9,3,September
44,"Thomas, Waller and Kelly",Education,Quant Researcher,"Hugging Face, Flask, TensorFlow, Excel, SQL",Entry,Contract,"South Jeremiah, MX",65214-151832,2025/3/11,Large,"TensorFlow, LangChain, PyTorch",Quant Researcher,Quant Researcher,"['Hugging Face', 'Flask', 'TensorFlow', 'Excel', 'SQL']","['TensorFlow', 'LangChain', 'PyTorch']",5,3,65214,151832,108523.0,High (100K-150K),South Jeremiah,MX,Mexico,North America,Education,Education,Entry,Contract,Large,2025-03-11,2025,3,1,March
45,"Franklin, Wright and Berg",Automotive,Quant Researcher,"Hugging Face, Pandas, CUDA, LangChain, FastAPI",Mid,Internship,"Ramirezmouth, PK",71101-158421,2025/3/16,Mid,KDB+,Quant Researcher,Quant Researcher,"['Hugging Face', 'Pandas', 'CUDA', 'LangChain', 'FastAPI']",['KDB+'],5,1,71101,158421,114761.0,High (100K-150K),Ramirezmouth,PK,Pakistan,Asia,Automotive,Automotive & Transportation,Mid,Internship,Mid,2025-03-16,2025,3,1,March
46,"Coleman, Gray and Roach",Healthcare,ML Engineer,"LangChain, AWS, GCP",Entry,Internship,"New Rachelmouth, IT",119200-129563,2025/2/14,Startup,"FastAPI, MLflow, TensorFlow",Ml Engineer,ML Engineer,"['LangChain', 'AWS', 'GCP']","['FastAPI', 'MLflow', 'TensorFlow']",3,3,119200,129563,124381.5,High (100K-150K),New Rachelmouth,IT,Italy,Europe,Healthcare,Healthcare,Entry,Internship,Startup,2025-02-14,2025,2,1,February
47,Mooney-Decker,Finance,Data Scientist,"Scikit-learn, PyTorch, Flask, Azure",Mid,Contract,"Jennyland, TR",122083-203812,2024/8/4,Startup,"PyTorch, BigQuery",Data Scientist,Data Scientist,"['Scikit-learn', 'PyTorch', 'Flask', 'Azure']","['PyTorch', 'BigQuery']",4,2,122083,203812,162947.5,Very High (>150K),Jennyland,TR,Turkey,Europe,Finance,Finance & Banking,Mid,Contract,Startup,2024-08-04,2024,8,3,August
48,Wood LLC,Automotive,Computer Vision Engineer,"GCP, TensorFlow, Power BI",Entry,Contract,"Port Johnville, MA",144773-159408,2025/2/21,Mid,"MLflow, BigQuery, LangChain",Computer Vision Engineer,Computer Vision Engineer,"['GCP', 'TensorFlow', 'Power BI']","['MLflow', 'BigQuery', 'LangChain']",3,3,144773,159408,152090.5,Very High (>150K),Port Johnville,MA,Morocco,Africa,Automotive,Automotive & Transportation,Entry,Contract,Mid,2025-02-21,2025,2,1,February
49,Copeland Group,Education,NLP Engineer,"TensorFlow, LangChain, PyTorch, Power BI, R",Entry,Remote,"North Josephshire, YE",78317-161397,2024/3/19,Mid,"KDB+, PyTorch, MLflow",Nlp Engineer,NLP Engineer,"['TensorFlow', 'LangChain', 'PyTorch', 'Power BI', 'R']","['KDB+', 'PyTorch', 'MLflow']",5,3,78317,161397,119857.0,High (100K-150K),North Josephshire,YE,Yemen,Asia,Education,Education,Entry,Remote,Mid,2024-03-19,2024,3,1,March
50,Richards PLC,Finance,NLP Engineer,"Power BI, CUDA, C++, Pandas, SQL, AWS",Mid,Full-time,"Lewismouth, TD",75575-120477,2024/5/7,Large,"FastAPI, KDB+, Scikit-learn",Nlp Engineer,NLP Engineer,"['Power BI', 'CUDA', 'C++', 'Pandas', 'SQL', 'AWS']","['FastAPI', 'KDB+', 'Scikit-learn']",6,3,75575,120477,98026.0,Mid (70K-100K),Lewismouth,TD,Chad,Africa,Finance,Finance & Banking,Mid,Full-Time,Large,2024-05-07,2024,5,2,May
51,"Melendez, Williams and Williamson",E-commerce,AI Product Manager,"TensorFlow, Keras, PyTorch, AWS, Scikit-learn",Entry,Full-time,"Steinside, IT",133185-231638,2023/9/27,Large,BigQuery,Ai Product Manager,AI Product Manager,"['TensorFlow', 'Keras', 'PyTorch', 'AWS', 'Scikit-learn']",['BigQuery'],5,1,133185,231638,182411.5,Very High (>150K),Steinside,IT,Italy,Europe,E-Commerce,Retail & E-commerce,Entry,Full-Time,Large,2023-09-27,2023,9,3,September
52,"Ellis, Crane and Boyle",E-commerce,Computer Vision Engineer,"Azure, Keras, Scikit-learn, Hugging Face, Excel, R",Entry,Contract,"North Jason, MR",73140-164506,2025/5/30,Mid,"LangChain, KDB+, FastAPI",Computer Vision Engineer,Computer Vision Engineer,"['Azure', 'Keras', 'Scikit-learn', 'Hugging Face', 'Excel', 'R']","['LangChain', 'KDB+', 'FastAPI']",6,3,73140,164506,118823.0,High (100K-150K),North Jason,MR,Mauritania,Africa,E-Commerce,Retail & E-commerce,Entry,Contract,Mid,2025-05-30,2025,5,2,May
53,Foley-Moore,Finance,Data Scientist,"Keras, Pandas, Python, FastAPI, CUDA, Scikit-learn",Mid,Contract,"Thomasfort, KG",69031-115150,2025/5/17,Large,MLflow,Data Scientist,Data Scientist,"['Keras', 'Pandas', 'Python', 'FastAPI', 'CUDA', 'Scikit-learn']",['MLflow'],6,1,69031,115150,92090.5,Mid (70K-100K),Thomasfort,KG,Kyrgyzstan,Asia,Finance,Finance & Banking,Mid,Contract,Large,2025-05-17,2025,5,2,May
54,Wright and Sons,Tech,Quant Researcher,"R, SQL, Python, PyTorch",Mid,Full-time,"Chavezstad, TG",49382-141727,2024/11/9,Large,"LangChain, BigQuery, MLflow",Quant Researcher,Quant Researcher,"['R', 'SQL', 'Python', 'PyTorch']","['LangChain', 'BigQuery', 'MLflow']",4,3,49382,141727,95554.5,Mid (70K-100K),Chavezstad,TG,Togo,Africa,Tech,Technology,Mid,Full-Time,Large,2024-11-09,2024,11,4,November
