job_id,company_name,industry,job_title,skills_required,experience_level,employment_type,location,salary_range_usd,posted_date,company_size,tools_preferred,job_title_standardized,job_category,skills_list,tools_list,num_skills_required,num_tools_preferred,salary_min,salary_max,salary_avg,salary_category,city,country_code,country,region,industry_standardized,industry_category,experience_level_standardized,employment_type_standardized,company_size_standardized,posted_date_parsed,posted_year,posted_month,posted_quarter,posted_month_name,skill_TensorFlow,skill_Excel,skill_Pandas,skill_FastAPI,skill_NumPy,skill_Reinforcement Learning,skill_Azure,skill_SQL,skill_Hugging Face,skill_Keras,skill_GCP,skill_AWS,skill_Power BI,skill_Python,skill_PyTorch,skill_LangChain,skill_Scikit-learn,skill_Flask,skill_CUDA,skill_R,skill_C++,skill_MLflow,tool_MLflow,tool_LangChain,tool_FastAPI,tool_KDB+,tool_BigQuery,tool_TensorFlow,tool_PyTorch,tool_Scikit-learn,job_category_encoded,experience_level_encoded,employment_type_encoded,industry_encoded,company_size_encoded,region_encoded,salary_category_encoded,salary_range,salary_range_pct,posting_age,total_tech_count
11,Vaughan-Ortiz,Tech,Data Scientist,"Keras, MLflow, Reinforcement Learning",Entry,Internship,"New Angelatown, LU",99964-125971,2024/1/10,Large,"LangChain, BigQuery, Scikit-learn",Data Scientist,Data Scientist,"['Keras', 'MLflow', 'Reinforcement Learning']","['LangChain', 'BigQuery', 'Scikit-learn']",3,3,99964,125971,112967.5,High (100K-150K),New Angelatown,LU,Luxembourg,Europe,Tech,Technology,Entry,Internship,Large,2024-01-10,2024,1,1,January,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,4,0,2,6,0,4,0,26007,0.23021665523269966,1,6
12,"Johnson, Guzman and Hernandez",Finance,ML Engineer,"Excel, Reinforcement Learning, Keras, Scikit-learn",Entry,Full-time,"Joychester, LT",63583-132670,2024/3/15,Large,"TensorFlow, PyTorch, BigQuery",Ml Engineer,ML Engineer,"['Excel', 'Reinforcement Learning', 'Keras', 'Scikit-learn']","['TensorFlow', 'PyTorch', 'BigQuery']",4,3,63583,132670,98126.5,Mid (70K-100K),Joychester,LT,Lithuania,Europe,Finance,Finance & Banking,Entry,Full-Time,Large,2024-03-15,2024,3,1,March,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,5,0,1,3,0,4,2,69087,0.704060574870193,1,7
13,Martin and Sons,E-commerce,NLP Engineer,"C++, Hugging Face, Python, FastAPI",Entry,Full-time,"South Michael, FM",102770-117026,2023/9/27,Startup,LangChain,Nlp Engineer,NLP Engineer,"['C++', 'Hugging Face', 'Python', 'FastAPI']",['LangChain'],4,1,102770,117026,109898.0,High (100K-150K),South Michael,FM,Micronesia,Oceania,E-Commerce,Retail & E-commerce,Entry,Full-Time,Startup,2023-09-27,2023,9,3,September,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6,0,1,1,2,7,0,14256,0.1297202860834592,2,5
14,Frank-Duarte,Retail,Quant Researcher,"Excel, MLflow, NumPy, Hugging Face, LangChain, FastAPI",Senior,Full-time,"Christianberg, GQ",137004-193975,2024/11/20,Mid,"LangChain, TensorFlow, Scikit-learn",Quant Researcher,Quant Researcher,"['Excel', 'MLflow', 'NumPy', 'Hugging Face', 'LangChain', 'FastAPI']","['LangChain', 'TensorFlow', 'Scikit-learn']",6,3,137004,193975,165489.5,Very High (>150K),Christianberg,GQ,Equatorial Guinea,Africa,Retail,Retail & E-commerce,Senior,Full-Time,Mid,2024-11-20,2024,11,4,November,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,7,2,1,5,1,0,3,56971,0.3442574906565069,1,9
15,Rogers Ltd,Education,NLP Engineer,"Pandas, CUDA, NumPy, FastAPI",Mid,Remote,"New Katieborough, FJ",129842-216741,2024/7/8,Large,FastAPI,Nlp Engineer,NLP Engineer,"['Pandas', 'CUDA', 'NumPy', 'FastAPI']",['FastAPI'],4,1,129842,216741,173291.5,Very High (>150K),New Katieborough,FJ,Fiji,Oceania,Education,Education,Mid,Remote,Large,2024-07-08,2024,7,3,July,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,6,1,3,2,0,7,3,86899,0.5014614103980864,1,5
16,Wright-Evans,Automotive,NLP Engineer,"Hugging Face, Scikit-learn, Reinforcement Learning",Senior,Remote,"Stephaniechester, LU",124669-217866,2024/4/6,Startup,TensorFlow,Nlp Engineer,NLP Engineer,"['Hugging Face', 'Scikit-learn', 'Reinforcement Learning']",['TensorFlow'],3,1,124669,217866,171267.5,Very High (>150K),Stephaniechester,LU,Luxembourg,Europe,Automotive,Automotive & Transportation,Senior,Remote,Startup,2024-04-06,2024,4,2,April,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,2,3,0,2,4,3,93197,0.5441604507568569,1,4
17,Preston Ltd,E-commerce,ML Engineer,"MLflow, R, C++",Entry,Full-time,"South Tim, CZ",137523-180097,2025/5/14,Mid,LangChain,Ml Engineer,ML Engineer,"['MLflow', 'R', 'C++']",['LangChain'],3,1,137523,180097,158810.0,Very High (>150K),South Tim,CZ,Czech Republic,Europe,E-Commerce,Retail & E-commerce,Entry,Full-Time,Mid,2025-05-14,2025,5,2,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,5,0,1,1,1,4,3,42574,0.2680813550783956,0,4
18,Smith-Moore,Automotive,AI Product Manager,"Excel, MLflow, Hugging Face, Flask, Power BI",Entry,Internship,"Blevinsburgh, VU",138184-192857,2024/4/29,Startup,BigQuery,Ai Product Manager,AI Product Manager,"['Excel', 'MLflow', 'Hugging Face', 'Flask', 'Power BI']",['BigQuery'],5,1,138184,192857,165520.5,Very High (>150K),Blevinsburgh,VU,Vanuatu,Oceania,Automotive,Automotive & Transportation,Entry,Internship,Startup,2024-04-29,2024,4,2,April,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,2,7,3,54673,0.3303095386976236,1,6
19,Webb and Sons,Healthcare,Data Scientist,"AWS, Azure, Power BI, CUDA, Reinforcement Learning, Hugging Face",Senior,Remote,"Parkmouth, CA",100845-159745,2024/10/19,Mid,"BigQuery, FastAPI, KDB+",Data Scientist,Data Scientist,"['AWS', 'Azure', 'Power BI', 'CUDA', 'Reinforcement Learning', 'Hugging Face']","['BigQuery', 'FastAPI', 'KDB+']",6,3,100845,159745,130295.0,High (100K-150K),Parkmouth,CA,Canada,North America,Healthcare,Healthcare,Senior,Remote,Mid,2024-10-19,2024,10,4,October,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,2,3,4,1,6,0,58900,0.45205111477800375,1,9
20,Gates LLC,E-commerce,ML Engineer,"R, CUDA, Power BI, AWS",Mid,Internship,"Stevenhaven, BW",115578-207180,2024/8/29,Large,MLflow,Ml Engineer,ML Engineer,"['R', 'CUDA', 'Power BI', 'AWS']",['MLflow'],4,1,115578,207180,161379.0,Very High (>150K),Stevenhaven,BW,Botswana,Africa,E-Commerce,Retail & E-commerce,Mid,Internship,Large,2024-08-29,2024,8,3,August,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,5,1,2,1,0,0,3,91602,0.5676203223467737,1,5
21,"Whitaker, Walker and Sandoval",Retail,Quant Researcher,"C++, Power BI, R, SQL, Keras, Azure",Entry,Remote,"Gregorymouth, LV",122521-175168,2024/1/19,Large,"Scikit-learn, BigQuery, PyTorch",Quant Researcher,Quant Researcher,"['C++', 'Power BI', 'R', 'SQL', 'Keras', 'Azure']","['Scikit-learn', 'BigQuery', 'PyTorch']",6,3,122521,175168,148844.5,High (100K-150K),Gregorymouth,LV,Latvia,Europe,Retail,Retail & E-commerce,Entry,Remote,Large,2024-01-19,2024,1,1,January,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,7,0,3,5,0,4,0,52647,0.35370470524607894,1,9
22,Humphrey LLC,Retail,Quant Researcher,"LangChain, NumPy, CUDA, C++, MLflow, R",Entry,Full-time,"Lake Alexander, RU",62483-105216,2023/12/28,Large,"PyTorch, LangChain",Quant Researcher,Quant Researcher,"['LangChain', 'NumPy', 'CUDA', 'C++', 'MLflow', 'R']","['PyTorch', 'LangChain']",6,2,62483,105216,83849.5,Mid (70K-100K),Lake Alexander,RU,Russia,Europe,Retail,Retail & E-commerce,Entry,Full-Time,Large,2023-12-28,2023,12,4,December,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,7,0,1,5,0,4,2,42733,0.509639294211653,2,8
23,"Adams, Stevenson and Wagner",E-commerce,NLP Engineer,"CUDA, FastAPI, Scikit-learn, MLflow, Hugging Face",Mid,Remote,"North Nicholas, SN",74317-148899,2024/11/25,Startup,"PyTorch, Scikit-learn, KDB+",Nlp Engineer,NLP Engineer,"['CUDA', 'FastAPI', 'Scikit-learn', 'MLflow', 'Hugging Face']","['PyTorch', 'Scikit-learn', 'KDB+']",5,3,74317,148899,111608.0,High (100K-150K),North Nicholas,SN,Senegal,Africa,E-Commerce,Retail & E-commerce,Mid,Remote,Startup,2024-11-25,2024,11,4,November,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,1,6,1,3,1,2,0,0,74582,0.6682495878431653,1,8
24,"Thomas, Hurst and Becker",Tech,NLP Engineer,"PyTorch, CUDA, Hugging Face, Flask, C++",Senior,Internship,"Leeton, MW",68115-125323,2023/12/6,Mid,Scikit-learn,Nlp Engineer,NLP Engineer,"['PyTorch', 'CUDA', 'Hugging Face', 'Flask', 'C++']",['Scikit-learn'],5,1,68115,125323,96719.0,Mid (70K-100K),Leeton,MW,Malawi,Africa,Tech,Technology,Senior,Internship,Mid,2023-12-06,2023,12,4,December,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,6,2,2,6,1,0,2,57208,0.5914866779019634,2,6
25,Sherman-Nguyen,Healthcare,NLP Engineer,"Python, Reinforcement Learning, MLflow",Mid,Internship,"Suzanneview, TW",89840-109693,2025/6/13,Mid,FastAPI,Nlp Engineer,NLP Engineer,"['Python', 'Reinforcement Learning', 'MLflow']",['FastAPI'],3,1,89840,109693,99766.5,Mid (70K-100K),Suzanneview,TW,Taiwan,Asia,Healthcare,Healthcare,Mid,Internship,Mid,2025-06-13,2025,6,2,June,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6,1,2,4,1,1,2,19853,0.1989946525136193,0,4
26,Johnson-Keller,Finance,NLP Engineer,"PyTorch, Reinforcement Learning, FastAPI, Power BI, Python, R",Mid,Remote,"Whitestad, BB",107786-126713,2024/12/20,Mid,"FastAPI, PyTorch, KDB+",Nlp Engineer,NLP Engineer,"['PyTorch', 'Reinforcement Learning', 'FastAPI', 'Power BI', 'Python', 'R']","['FastAPI', 'PyTorch', 'KDB+']",6,3,107786,126713,117249.5,High (100K-150K),Whitestad,BB,Barbados,Caribbean,Finance,Finance & Banking,Mid,Remote,Mid,2024-12-20,2024,12,4,December,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,6,1,3,3,1,2,0,18927,0.1614249954157587,1,9
27,Le PLC,Education,Quant Researcher,"Azure, Flask, FastAPI, Hugging Face, Power BI, Python",Senior,Internship,"Taraburgh, DZ",44309-77284,2025/1/2,Large,"TensorFlow, Scikit-learn, FastAPI",Quant Researcher,Quant Researcher,"['Azure', 'Flask', 'FastAPI', 'Hugging Face', 'Power BI', 'Python']","['TensorFlow', 'Scikit-learn', 'FastAPI']",6,3,44309,77284,60796.5,Low (<70K),Taraburgh,DZ,Algeria,Africa,Education,Education,Senior,Internship,Large,2025-01-02,2025,1,1,January,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,7,2,2,2,0,0,1,32975,0.5423831964011087,0,9
28,"Abbott, Nielsen and Young",Healthcare,Data Analyst,"R, Python, Pandas",Entry,Contract,"New Richard, TD",124616-172767,2025/2/28,Startup,"PyTorch, MLflow",Data Analyst,Data Analyst,"['R', 'Python', 'Pandas']","['PyTorch', 'MLflow']",3,2,124616,172767,148691.5,High (100K-150K),New Richard,TD,Chad,Africa,Healthcare,Healthcare,Entry,Contract,Startup,2025-02-28,2025,2,1,February,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,3,0,0,4,2,0,0,48151,0.32383155728471363,0,5
29,Thomas-Ruiz,Finance,Data Analyst,"Flask, Hugging Face, Pandas, Python, Scikit-learn, Keras",Mid,Internship,"South Donaldton, GE",142616-216391,2025/1/31,Startup,"Scikit-learn, FastAPI, LangChain",Data Analyst,Data Analyst,"['Flask', 'Hugging Face', 'Pandas', 'Python', 'Scikit-learn', 'Keras']","['Scikit-learn', 'FastAPI', 'LangChain']",6,3,142616,216391,179503.5,Very High (>150K),South Donaldton,GE,Georgia,Asia,Finance,Finance & Banking,Mid,Internship,Startup,2025-01-31,2025,1,1,January,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,3,1,2,3,2,1,3,73775,0.4109947716896885,0,9
30,"Good, Ware and Cruz",Finance,Data Analyst,"Scikit-learn, SQL, Azure",Entry,Contract,"North Michael, TT",70932-161568,2024/6/7,Startup,TensorFlow,Data Analyst,Data Analyst,"['Scikit-learn', 'SQL', 'Azure']",['TensorFlow'],3,1,70932,161568,116250.0,High (100K-150K),North Michael,TT,Trinidad and Tobago,Caribbean,Finance,Finance & Banking,Entry,Contract,Startup,2024-06-07,2024,6,2,June,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,2,2,0,90636,0.7796645161290322,1,4
31,Gay PLC,Tech,Quant Researcher,"Keras, Excel, TensorFlow",Senior,Full-time,"Port Patriciaport, TG",54565-94461,2024/6/27,Startup,"KDB+, PyTorch",Quant Researcher,Quant Researcher,"['Keras', 'Excel', 'TensorFlow']","['KDB+', 'PyTorch']",3,2,54565,94461,74513.0,Mid (70K-100K),Port Patriciaport,TG,Togo,Africa,Tech,Technology,Senior,Full-Time,Startup,2024-06-27,2024,6,2,June,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,2,1,6,2,0,2,39896,0.5354233489458216,1,5
32,Kirby-Zuniga,Healthcare,Data Scientist,"Hugging Face, Scikit-learn, C++, Excel, Azure",Entry,Full-time,"Danielchester, ID",112660-179478,2023/9/22,Mid,"LangChain, KDB+",Data Scientist,Data Scientist,"['Hugging Face', 'Scikit-learn', 'C++', 'Excel', 'Azure']","['LangChain', 'KDB+']",5,2,112660,179478,146069.0,High (100K-150K),Danielchester,ID,Indonesia,Asia,Healthcare,Healthcare,Entry,Full-Time,Mid,2023-09-22,2023,9,3,September,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,4,0,1,4,1,1,0,66818,0.45744134621309107,2,7
33,"Castillo, Campbell and Robinson",Tech,AI Product Manager,"Keras, PyTorch, AWS, FastAPI, CUDA",Mid,Contract,"Alexandriaburgh, KN",55330-104941,2024/9/30,Startup,"TensorFlow, Scikit-learn",Ai Product Manager,AI Product Manager,"['Keras', 'PyTorch', 'AWS', 'FastAPI', 'CUDA']","['TensorFlow', 'Scikit-learn']",5,2,55330,104941,80135.5,Mid (70K-100K),Alexandriaburgh,KN,Saint Kitts and Nevis,Caribbean,Tech,Technology,Mid,Contract,Startup,2024-09-30,2024,9,3,September,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,6,2,2,2,49611,0.6190889181448921,1,7
34,Carter LLC,Finance,NLP Engineer,"MLflow, Keras, SQL, GCP, Power BI",Senior,Internship,"West Charles, TT",110439-183071,2023/11/25,Startup,PyTorch,Nlp Engineer,NLP Engineer,"['MLflow', 'Keras', 'SQL', 'GCP', 'Power BI']",['PyTorch'],5,1,110439,183071,146755.0,High (100K-150K),West Charles,TT,Trinidad and Tobago,Caribbean,Finance,Finance & Banking,Senior,Internship,Startup,2023-11-25,2023,11,4,November,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,2,2,3,2,2,0,72632,0.49492010493679944,2,6
35,Hall Group,Automotive,Computer Vision Engineer,"GCP, C++, Excel",Entry,Contract,"North Denise, MC",97714-134140,2024/4/1,Large,"TensorFlow, Scikit-learn",Computer Vision Engineer,Computer Vision Engineer,"['GCP', 'C++', 'Excel']","['TensorFlow', 'Scikit-learn']",3,2,97714,134140,115927.0,High (100K-150K),North Denise,MC,Monaco,Europe,Automotive,Automotive & Transportation,Entry,Contract,Large,2024-04-01,2024,4,2,April,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,2,0,0,0,0,4,0,36426,0.31421498011679766,1,5
36,Huynh PLC,Finance,Computer Vision Engineer,"PyTorch, LangChain, R",Mid,Remote,"Kirbyside, LT",87250-156869,2023/12/25,Startup,"Scikit-learn, FastAPI, MLflow",Computer Vision Engineer,Computer Vision Engineer,"['PyTorch', 'LangChain', 'R']","['Scikit-learn', 'FastAPI', 'MLflow']",3,3,87250,156869,122059.5,High (100K-150K),Kirbyside,LT,Lithuania,Europe,Finance,Finance & Banking,Mid,Remote,Startup,2023-12-25,2023,12,4,December,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,2,1,3,3,2,4,0,69619,0.5703693690372318,2,6
37,"Smith, Haas and Mendez",Retail,AI Researcher,"Excel, SQL, Python",Entry,Contract,"Lake John, AU",77074-163272,2024/11/16,Mid,"Scikit-learn, LangChain, KDB+",Ai Researcher,AI Researcher,"['Excel', 'SQL', 'Python']","['Scikit-learn', 'LangChain', 'KDB+']",3,3,77074,163272,120173.0,High (100K-150K),Lake John,AU,Australia,Oceania,Retail,Retail & E-commerce,Entry,Contract,Mid,2024-11-16,2024,11,4,November,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,1,7,0,86198,0.7172825842743378,1,6
38,"Briggs, Shaw and Berry",E-commerce,ML Engineer,"SQL, Hugging Face, TensorFlow",Mid,Remote,"East Ashleyland, PL",116061-159814,2025/5/14,Startup,MLflow,Ml Engineer,ML Engineer,"['SQL', 'Hugging Face', 'TensorFlow']",['MLflow'],3,1,116061,159814,137937.5,High (100K-150K),East Ashleyland,PL,Poland,Europe,E-Commerce,Retail & E-commerce,Mid,Remote,Startup,2025-05-14,2025,5,2,May,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,3,1,2,4,0,43753,0.31719438151336654,0,4
